word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
Alw	الو	>uluw	أُلُو	noun	>uluw	أُلُو	those	#.#.l	#.#.ل
Alw	الو	>uluw	أُلُو	noun	>uluw	أُلُو	those	#.#.l	#.#.ل
Alw	الو	>uluw	أُلُو	noun	>uluw	أُلُو	those	#.#.l	#.#.ل
mHsn	محسن	muHosin	مُحْسِن	noun_prop	muHosin	مُحْسِن	Muhsin	H.s.n	ح.س.ن
hndAwY	هنداوى	hinodAwiy~	هِنْداوِيّ	noun_prop	hinodAwiy~	هِنْداوِيّ	Hindawi	h.n.d	ه.ن.د
Endk	عندك	Einod	عِنْد	noun	Einoda	عِنْدَ	with;at+you_[masc.sg.]	E.n.d	ع.ن.د
AHsAs	احساس	<iHosAs	إِحْساس	noun	<iHosAs	إِحْساس	feeling;sensitivity+[def.nom.]	H.s.s	ح.س.س
Hsby	حسبي	Hasab	حَسَب	noun	Hasab	حَسَب	according_to;depending_on+my	H.s.b	ح.س.ب
Allh	الله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	Allah;God	#.l.h	#.ل.ه
wnEm	ونعم	naEam	نَعَم	interj	naEam	نَعَم	while+yes	n.E.m	ن.ع.م
Alwkyl	الوكيل	wakiyl	وَكِيل	noun	wakiyl	وَكِيل	the+representative;agent+[def.acc.]	#.k.l	#.ك.ل
bS	بص	buS~	بُصّ	noun_prop	buS~	بُصّ	Buss	NTWS	NTWS
mn	من	min	مِن	prep	min	مِن	from	m.n	م.ن
zmAn	زمان	zamAn	زَمان	noun	zamAn	زَمان	time;duration+[indef.gen.]	z.m.n	ز.م.ن
wAnA	وانا	>anA	أَنا	pron	>anA	أَنا	and+I	#.n	#.ن
wAllh	والله	All~ah	اللَّه	noun_prop	All~`h	اللّٰه	[part.]+Allah;God	#.l.h	#.ل.ه
lnAs	لناس	nAs	ناس	noun	nAs	ناس	indeed;truly+people	n.#.s	ن.#.س
fY	فى	fiy	فِي	prep	fiy	فِي	in	f.#	ف.#
An	ان	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
AllY	اللى	lay~	لَيّ	noun	lay~	لَيّ	the+distortion;contortion	l.#.#	ل.#.#
m$	مش	ma$~	مَشّ	noun	ma$~	مَشّ	maceration;soaking	m.$.$	م.ش.ش
