word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
lkn	لكن	l`kin~a	لٰكِنَّ	conj	l`kin~a	لٰكِنَّ	however	l.k.n	ل.ك.ن
lA	لا	lA	لا	part_neg	lA	لا	no;not	l.#	ل.#
bd	بد	bud~	بُدّ	noun	bud~	بُدّ	escape;avoiding+[def.acc.]	b.d.d	ب.د.د
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
>wDH	أوضح	>awoDaH	أَوْضَح	verb	>awoDaH	أَوْضَح	clarify;explain;indicate+he;it_<verb>	#.D.H	#.ض.ح
lk	لك	li	لِ	prep	laka	لَكَ	to;for_+_you_[masc.sg.]_(you_have)	l	ل
>n	أن	>an~a	أَنَّ	conj_sub	>an~a	أَنَّ	that	#.n.n	#.ن.ن
kl	كل	kul~	كُلّ	noun	kul~	كُلّ	every;all+[def.gen.]	k.l.l	ك.ل.ل
h*h	هذه	h`*A	هٰذا	pron_dem	h`*ihi	هٰذِهِ	this;these	h	ه
Al>fkAr	الأفكار	fikor	فِكْر	noun	>afokAr	أَفْكار	the+thoughts;ideas;concepts+[def.acc.]	f.k.r	ف.ك.ر
AlmglwTp	المغلوطة	magoluwT	مَغْلُوط	adj	magoluwT	مَغْلُوط	the+false;wrong+[fem.sg.]	g.l.T	غ.ل.ط
Hwl	حول	Hawol	حَوْل	noun	Hawol	حَوْل	power+[def.acc.]	H.#.l	ح.#.ل
AstnkAr	استنكار	{isotinokAr	ٱِسْتِنْكار	noun	{isotinokAr	ٱِسْتِنْكار	repudiation;ignorance;lack_of_knowledge+[def.gen.]	n.k.r	ن.ك.ر
Aln$wp	النشوة	na$owap	نَشْوَة	noun	na$ow	نَشْو	the+intoxication;rapture;elation+[fem.sg.]	n.$.#	ن.ش.#
wtmjyd	وتمجيد	tamojiyd	تَمْجِيد	noun	tamojiyd	تَمْجِيد	and+praise;glorification+[def.gen.]	m.j.d	م.ج.د
Al>lm	الألم	>alam	أَلَم	noun	>alam	أَلَم	the+pain;suffering+[def.nom.]	#.l.m	#.ل.م
n$>t	نشأت	na$a>	نَشَأ	verb	na$a>	نَشَأ	rise;grow+I_<verb>	n.$.#	ن.ش.#
bAlfEl	بالفعل	fiEol	فِعْل	noun	fiEol	فِعْل	with;by_+_the+verb+[def.gen.]	f.E.l	ف.ع.ل
ws>ErD	وسأعرض	EaraD	عَرَض	verb	EoriD	عْرِض	[part.]_+_will_+_I+exhibit;present;review;inspect	E.r.D	ع.ر.ض
