word	transcription	lemma	pos	wordfreq	lemfreq
the	ðə 	the	a	50033323	50033612
hath	hæθ 	have	v	4804	10514314
that	ðæt 	that	c	8319510	8319512
doth	dʌθ 	do	v	1655	8186412
with	wɪð 	with	i	6442861	6442861
this	ðɪs 	this	d	5541355	5541355
that	ðæt 	that	d	5002961	5002963
they	ðeɪ 	they	p	4503650	4503650
their	ðɛɹ 	their	a	2417058	2417058
maketh	meɪkəθ 	make	v	261	2290830
think	θɪŋk 	think	v	1483944	2077762
thought	θɔːt 	think	v	390032	2077762
thinking	θɪŋkɪŋ 	think	v	135649	2077762
thinks	θɪŋks 	think	v	68137	2077762
there	ðɛɹ 	there	e	1980173	1980173
cometh	kʌməθ 	come	v	582	1802158
them	ðɛm 	them	p	1691297	1701589
thems	ðɛmz 	them	p	8	1701589
other	ʌðɚ 	other	j	1278825	1539952
others	ʌðɚz 	other	j	261127	1539952
then	ðɛn 	then	r	1344434	1344434
than	ðɐn 	than	c	1342798	1342798
these	ðiːz 	these	d	1223310	1223310
things	θɪŋz 	thing	n	630338	1202004
thing	θɪŋ 	thing	n	571666	1202004
giveth	ɡɪvəθ 	give	v	299	1048189
those	ðoʊz 	those	d	964458	964458
there	ðɛɹ 	there	r	932354	932354
something	sʌmθɪŋ 	something	p	774329	779903
somethin	sʌmθɪn 	something	p	5386	779903
some-thing	sʌmθɪŋ 	something	p	188	779903
through	θɹuː 	through	i	752325	752325
three	θɹiː 	three	m	569831	570885
threes	θɹiːz 	three	m	1054	570885
another	ɐnʌðɚ 	another	d	565094	565094
runneth	ɹʌnəθ 	run	v	167	465066
without	wɪðaʊt 	without	i	438567	438567
anything	ɛnɪθɪŋ 	anything	p	384431	384508
any-thing	ɛniθɪŋ 	anything	p	76	384508
nothing	nʌθɪŋ 	nothing	p	383492	383744
nuthin	nʌθɪn 	nothing	p	252	383744
months	mʌnθs 	month	n	232315	381833
month	mʌnθ 	month	n	149518	381833
further	fɜːðɚ 	far	r	84817	357192
farther	fɑːɹðɚ 	far	r	13099	357192
farthest	fɑːɹðɪst 	far	r	550	357192
furthest	fɜːðɪst 	far	r	345	357192
though	ðoʊ 	though	c	352608	352608
mother	mʌðɚ 	mother	n	317758	348470
mothers	mʌðɚz 	mother	n	30697	348470
moth-er	mɑːθɜː 	mother	n	15	348470
both	boʊθ 	both	d	338454	338454
thank	θæŋk 	thank	v	320733	330129
thanked	θæŋkt 	thank	v	5271	330129
thanking	θæŋkɪŋ 	thank	v	2805	330129
thanks	θæŋks 	thank	v	1320	330129
everything	ɛvɹɪθɪŋ 	everything	p	323679	323760
every-thing	ɛvɹɪθɪŋ 	everything	p	81	323760
father	fɑːðɚ 	father	n	298634	318173
fathers	fɑːðɚz 	father	n	19522	318173
fa-ther	fɑːðɚ 	father	n	13	318173
together	təɡɛðɚ 	together	r	302942	302942
health	hɛlθ 	health	n	300245	300262
healths	hɛlθs 	health	n	17	300262
whether	wɛðɚ 	whether	c	280973	280973
both	boʊθ 	both	r	244397	244397
within	wɪðɪn 	within	i	243714	243714
death	dɛθ 	death	n	207362	233153
deaths	dɛθs 	death	n	25791	233153
although	ɔːlðoʊ 	although	c	212390	212390
thanks	θæŋks 	thanks	n	194839	194839
themselves	ðɛmsɛlvz 	themselves	p	187873	188414
themself	ðɛmsɛlf 	themselves	p	385	188414
theirselves	θɛɹsɛlvz 	themselves	p	82	188414
them-selves	ðɛmsɛlvz 	themselves	p	46	188414
theirself	θɛɹsɛlf 	themselves	p	27	188414
either	iːðɚ 	either	r	181133	181133
brother	bɹʌðɚ 	brother	n	118506	167417
brothers	bɹʌðɚz 	brother	n	45520	167417
brethren	bɹɛðɹən 	brother	n	3391	167417
throw	θɹoʊ 	throw	v	55237	152388
threw	θɹuː 	throw	v	34126	152388
throwing	θɹoʊɪŋ 	throw	v	26736	152388
thrown	θɹoʊn 	throw	v	25707	152388
throws	θɹoʊz 	throw	v	10459	152388
throwed	θɹoʊd 	throw	v	123	152388
third	θɜːd 	third	m	152339	152339
author	ɔːθɚ 	author	n	103950	142352
authors	ɔːθɚz 	author	n	38402	142352
truth	tɹuːθ 	truth	n	135063	142017
truths	tɹuːθs 	truth	n	6954	142017
thought	θɔːt 	thought	n	82043	139016
thoughts	θɔːts 	thought	n	56973	139016
north	nɔːɹθ 	north	n	137666	137666
earth	ɜːθ 	earth	n	133301	134202
earths	ɜːθs 	earth	n	901	134202
