word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
the	ð.ə	the	ð.ə	a	50033323	50033612
hath	h.æ.θ	have	h.æ.v	v	4804	10514314
that	ð.æ.t	that	ð.æ.t	c	8319510	8319512
doth	d.ʌ.θ	do	d.uː	v	1655	8186412
with	w.ɪ.ð	with	w.ɪ.ð	i	6442861	6442861
this	ð.ɪ.s	this	ð.ɪ.s	d	5541355	5541355
that	ð.æ.t	that	ð.æ.t	d	5002961	5002963
they	ð.eɪ	they	ð.eɪ	p	4503650	4503650
their	ð.ɛ.ɹ	their	ð.ɛ.ɹ	a	2417058	2417058
maketh	m.eɪ.k.ə.θ	make	m.eɪ.k	v	261	2290830
think	θ.ɪ.ŋ.k	think	θ.ɪ.ŋ.k	v	1483944	2077762
thought	θ.ɔː.t	think	θ.ɪ.ŋ.k	v	390032	2077762
thinking	θ.ɪ.ŋ.k.ɪ.ŋ	think	θ.ɪ.ŋ.k	v	135649	2077762
thinks	θ.ɪ.ŋ.k.s	think	θ.ɪ.ŋ.k	v	68137	2077762
there	ð.ɛ.ɹ	there	ð.ɛ.ɹ	e	1980173	1980173
cometh	k.ʌ.m.ə.θ	come	k.ʌ.m	v	582	1802158
them	ð.ɛ.m	them	ð.ɛ.m	p	1691297	1701589
thems	ð.ɛ.m.z	them	ð.ɛ.m	p	8	1701589
other	ʌ.ð.ɚ	other	ʌ.ð.ɚ	j	1278825	1539952
others	ʌ.ð.ɚ.z	other	ʌ.ð.ɚ	j	261127	1539952
then	ð.ɛ.n	then	ð.ɛ.n	r	1344434	1344434
than	ð.ɐ.n	than	ð.ɐ.n	c	1342798	1342798
these	ð.iː.z	these	ð.iː.z	d	1223310	1223310
things	θ.ɪ.ŋ.z	thing	θ.ɪ.ŋ	n	630338	1202004
thing	θ.ɪ.ŋ	thing	θ.ɪ.ŋ	n	571666	1202004
giveth	ɡ.ɪ.v.ə.θ	give	ɡ.ɪ.v	v	299	1048189
those	ð.o.ʊ.z	those	ð.o.ʊ.z	d	964458	964458
there	ð.ɛ.ɹ	there	ð.ɛ.ɹ	r	932354	932354
something	s.ʌ.m.θ.ɪ.ŋ	something	s.ʌ.m.θ.ɪ.ŋ	p	774329	779903
somethin	s.ʌ.m.θ.ɪ.n	something	s.ʌ.m.θ.ɪ.ŋ	p	5386	779903
some-thing	s.ʌ.m.θ.ɪ.ŋ	something	s.ʌ.m.θ.ɪ.ŋ	p	188	779903
through	θ.ɹ.uː	through	θ.ɹ.uː	i	752325	752325
three	θ.ɹ.iː	three	θ.ɹ.iː	m	569831	570885
threes	θ.ɹ.iː.z	three	θ.ɹ.iː	m	1054	570885
another	ɐ.n.ʌ.ð.ɚ	another	ɐ.n.ʌ.ð.ɚ	d	565094	565094
runneth	ɹ.ʌ.n.ə.θ	run	ɹ.ʌ.n	v	167	465066
without	w.ɪ.ð.aʊ.t	without	w.ɪ.ð.aʊ.t	i	438567	438567
anything	ɛ.n.ɪ.θ.ɪ.ŋ	anything	ɛ.n.ɪ.θ.ɪ.ŋ	p	384431	384508
any-thing	ɛ.n.i.θ.ɪ.ŋ	anything	ɛ.n.ɪ.θ.ɪ.ŋ	p	76	384508
nothing	n.ʌ.θ.ɪ.ŋ	nothing	n.ʌ.θ.ɪ.ŋ	p	383492	383744
nuthin	n.ʌ.θ.ɪ.n	nothing	n.ʌ.θ.ɪ.ŋ	p	252	383744
months	m.ʌ.n.θ.s	month	m.ʌ.n.θ	n	232315	381833
month	m.ʌ.n.θ	month	m.ʌ.n.θ	n	149518	381833
further	f.ɜː.ð.ɚ	far	f.ɑː.ɹ	r	84817	357192
farther	f.ɑː.ɹ.ð.ɚ	far	f.ɑː.ɹ	r	13099	357192
farthest	f.ɑː.ɹ.ð.ɪ.s.t	far	f.ɑː.ɹ	r	550	357192
furthest	f.ɜː.ð.ɪ.s.t	far	f.ɑː.ɹ	r	345	357192
though	ð.o.ʊ	though	ð.o.ʊ	c	352608	352608
mother	m.ʌ.ð.ɚ	mother	m.ʌ.ð.ɚ	n	317758	348470
mothers	m.ʌ.ð.ɚ.z	mother	m.ʌ.ð.ɚ	n	30697	348470
moth-er	m.ɑː.θ.ɜː	mother	m.ʌ.ð.ɚ	n	15	348470
both	b.o.ʊ.θ	both	b.o.ʊ.θ	d	338454	338454
thank	θ.æ.ŋ.k	thank	θ.æ.ŋ.k	v	320733	330129
