word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
the	ðə 	the	ðə 	a	50033323	50033612
hath	hæθ 	have	hæv 	v	4804	10514314
that	ðæt 	that	ðæt 	c	8319510	8319512
doth	dʌθ 	do	duː 	v	1655	8186412
with	wɪð 	with	wɪð 	i	6442861	6442861
this	ðɪs 	this	ðɪs 	d	5541355	5541355
that	ðæt 	that	ðæt 	d	5002961	5002963
they	ðeɪ 	they	ðeɪ 	p	4503650	4503650
their	ðɛɹ 	their	ðɛɹ 	a	2417058	2417058
maketh	meɪkəθ 	make	meɪk 	v	261	2290830
think	θɪŋk 	think	θɪŋk 	v	1483944	2077762
thought	θɔːt 	think	θɪŋk 	v	390032	2077762
thinking	θɪŋkɪŋ 	think	θɪŋk 	v	135649	2077762
thinks	θɪŋks 	think	θɪŋk 	v	68137	2077762
there	ðɛɹ 	there	ðɛɹ 	e	1980173	1980173
cometh	kʌməθ 	come	kʌm 	v	582	1802158
them	ðɛm 	them	ðɛm 	p	1691297	1701589
thems	ðɛmz 	them	ðɛm 	p	8	1701589
other	ʌðɚ 	other	ʌðɚ 	j	1278825	1539952
others	ʌðɚz 	other	ʌðɚ 	j	261127	1539952
then	ðɛn 	then	ðɛn 	r	1344434	1344434
than	ðɐn 	than	ðɐn 	c	1342798	1342798
these	ðiːz 	these	ðiːz 	d	1223310	1223310
things	θɪŋz 	thing	θɪŋ 	n	630338	1202004
thing	θɪŋ 	thing	θɪŋ 	n	571666	1202004
giveth	ɡɪvəθ 	give	ɡɪv 	v	299	1048189
those	ðoʊz 	those	ðoʊz 	d	964458	964458
there	ðɛɹ 	there	ðɛɹ 	r	932354	932354
something	sʌmθɪŋ 	something	sʌmθɪŋ 	p	774329	779903
somethin	sʌmθɪn 	something	sʌmθɪŋ 	p	5386	779903
some-thing	sʌmθɪŋ 	something	sʌmθɪŋ 	p	188	779903
through	θɹuː 	through	θɹuː 	i	752325	752325
three	θɹiː 	three	θɹiː 	m	569831	570885
threes	θɹiːz 	three	θɹiː 	m	1054	570885
another	ɐnʌðɚ 	another	ɐnʌðɚ 	d	565094	565094
runneth	ɹʌnəθ 	run	ɹʌn 	v	167	465066
without	wɪðaʊt 	without	wɪðaʊt 	i	438567	438567
anything	ɛnɪθɪŋ 	anything	ɛnɪθɪŋ 	p	384431	384508
any-thing	ɛniθɪŋ 	anything	ɛnɪθɪŋ 	p	76	384508
nothing	nʌθɪŋ 	nothing	nʌθɪŋ 	p	383492	383744
nuthin	nʌθɪn 	nothing	nʌθɪŋ 	p	252	383744
months	mʌnθs 	month	mʌnθ 	n	232315	381833
month	mʌnθ 	month	mʌnθ 	n	149518	381833
further	fɜːðɚ 	far	fɑːɹ 	r	84817	357192
farther	fɑːɹðɚ 	far	fɑːɹ 	r	13099	357192
farthest	fɑːɹðɪst 	far	fɑːɹ 	r	550	357192
furthest	fɜːðɪst 	far	fɑːɹ 	r	345	357192
though	ðoʊ 	though	ðoʊ 	c	352608	352608
mother	mʌðɚ 	mother	mʌðɚ 	n	317758	348470
mothers	mʌðɚz 	mother	mʌðɚ 	n	30697	348470
moth-er	mɑːθɜː 	mother	mʌðɚ 	n	15	348470
both	boʊθ 	both	boʊθ 	d	338454	338454
thank	θæŋk 	thank	θæŋk 	v	320733	330129
thanked	θæŋkt 	thank	θæŋk 	v	5271	330129
thanking	θæŋkɪŋ 	thank	θæŋk 	v	2805	330129
thanks	θæŋks 	thank	θæŋk 	v	1320	330129
everything	ɛvɹɪθɪŋ 	everything	ɛvɹɪθɪŋ 	p	323679	323760
every-thing	ɛvɹɪθɪŋ 	everything	ɛvɹɪθɪŋ 	p	81	323760
father	fɑːðɚ 	father	fɑːðɚ 	n	298634	318173
fathers	fɑːðɚz 	father	fɑːðɚ 	n	19522	318173
fa-ther	fɑːðɚ 	father	fɑːðɚ 	n	13	318173
together	təɡɛðɚ 	together	təɡɛðɚ 	r	302942	302942
health	hɛlθ 	health	hɛlθ 	n	300245	300262
healths	hɛlθs 	health	hɛlθ 	n	17	300262
whether	wɛðɚ 	whether	wɛðɚ 	c	280973	280973
both	boʊθ 	both	boʊθ 	r	244397	244397
within	wɪðɪn 	within	wɪðɪn 	i	243714	243714
death	dɛθ 	death	dɛθ 	n	207362	233153
deaths	dɛθs 	death	dɛθ 	n	25791	233153
although	ɔːlðoʊ 	although	ɔːlðoʊ 	c	212390	212390
thanks	θæŋks 	thanks	θæŋks 	n	194839	194839
