word	lemma	pos	wordfreq	lemfreq
the	the	a	50033323	50033612
hath	have	v	4804	10514314
that	that	c	8319510	8319512
doth	do	v	1655	8186412
with	with	i	6442861	6442861
this	this	d	5541355	5541355
that	that	d	5002961	5002963
they	they	p	4503650	4503650
their	their	a	2417058	2417058
maketh	make	v	261	2290830
think	think	v	1483944	2077762
thought	think	v	390032	2077762
thinking	think	v	135649	2077762
thinks	think	v	68137	2077762
there	there	e	1980173	1980173
cometh	come	v	582	1802158
them	them	p	1691297	1701589
thems	them	p	8	1701589
other	other	j	1278825	1539952
others	other	j	261127	1539952
then	then	r	1344434	1344434
than	than	c	1342798	1342798
these	these	d	1223310	1223310
things	thing	n	630338	1202004
thing	thing	n	571666	1202004
giveth	give	v	299	1048189
those	those	d	964458	964458
there	there	r	932354	932354
something	something	p	774329	779903
somethin	something	p	5386	779903
some-thing	something	p	188	779903
through	through	i	752325	752325
three	three	m	569831	570885
threes	three	m	1054	570885
another	another	d	565094	565094
runneth	run	v	167	465066
without	without	i	438567	438567
anything	anything	p	384431	384508
any-thing	anything	p	76	384508
nothing	nothing	p	383492	383744
nuthin	nothing	p	252	383744
months	month	n	232315	381833
month	month	n	149518	381833
further	far	r	84817	357192
farther	far	r	13099	357192
farthest	far	r	550	357192
furthest	far	r	345	357192
though	though	c	352608	352608
mother	mother	n	317758	348470
mothers	mother	n	30697	348470
moth-er	mother	n	15	348470
both	both	d	338454	338454
thank	thank	v	320733	330129
thanked	thank	v	5271	330129
thanking	thank	v	2805	330129
thanks	thank	v	1320	330129
everything	everything	p	323679	323760
every-thing	everything	p	81	323760
father	father	n	298634	318173
fathers	father	n	19522	318173
fa-ther	father	n	13	318173
together	together	r	302942	302942
health	health	n	300245	300262
healths	health	n	17	300262
whether	whether	c	280973	280973
both	both	r	244397	244397
within	within	i	243714	243714
death	death	n	207362	233153
deaths	death	n	25791	233153
although	although	c	212390	212390
thanks	thanks	n	194839	194839
themselves	themselves	p	187873	188414
themself	themselves	p	385	188414
theirselves	themselves	p	82	188414
them-selves	themselves	p	46	188414
theirself	themselves	p	27	188414
either	either	r	181133	181133
brother	brother	n	118506	167417
brothers	brother	n	45520	167417
brethren	brother	n	3391	167417
throw	throw	v	55237	152388
threw	throw	v	34126	152388
throwing	throw	v	26736	152388
thrown	throw	v	25707	152388
throws	throw	v	10459	152388
throwed	throw	v	123	152388
third	third	m	152339	152339
author	author	n	103950	142352
authors	author	n	38402	142352
truth	truth	n	135063	142017
truths	truth	n	6954	142017
thought	thought	n	82043	139016
thoughts	thought	n	56973	139016
north	north	n	137666	137666
earth	earth	n	133301	134202
earths	earth	n	901	134202
than	than	i	133168	133168
other	other	p	132728	132728
south	south	n	120894	120894
thus	thus	r	118653	118653
rather	rather	r	115104	115104
that	that	r	112903	112903
growth	growth	n	109080	109567
growths	growth	n	487	109567
theory	theory	n	85835	107486
theories	theory	n	21651	107486
authority	authority	n	65204	105586
authorities	authority	n	40382	105586
method	method	n	54899	105544
methods	method	n	50645	105544
rather	rather	i	91475	91475
therefore	therefore	r	89981	89981
further	far	j	51866	89074
farther	far	j	3295	89074
farthest	far	j	1328	89074
furthest	far	j	792	89074
through	through	r	87238	87238
mouth	mouth	n	79265	86406
mouths	mouth	n	7141	86406
throughout	throughout	i	86381	86381
threat	threat	n	60969	85754
threats	threat	n	24785	85754
worth	worth	i	82178	82178
faith	faith	n	78563	80912
faiths	faith	n	2349	80912
path	path	n	60385	72335
paths	path	n	11950	72335
thousands	thousand	n	42395	70404
thousand	thousand	n	28009	70404
otherwise	otherwise	r	69217	69243
